SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD65F2D2FB8DF2CPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",5916000,30.36,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-2f-condo-unit-for-sale-in-bucandala-iv-i-171046433951/,Imus,CAVITE
CD65E54678E5B3FPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4369000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-gf-condo-unit-for-sale-in-bucandala-iv-171046366076/,Imus,CAVITE
CD65F2D2FB252F2PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6033000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-3f-condo-unit-for-sale-in-bucandala-iv-i-171046433848/,Imus,CAVITE
CD5F6C191E83C06PH,SERIN EAST TAGAYTAY,"Diversion Rd., Brgy. Silang Crossing East Silang Junction North, Tagaytay",4469640,23,1,1,2,2,1,1,0,2,3,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/studio-condo-unit-for-sale-at-serin-east-tagaytay-171715459357/,Tagaytay,CAVITE
CD6503D3F0D82CCPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5262522,37.93,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-studio-condo-unit-in-bacoor-cav-170859542313/,Bacoor,CAVITE
CD657002BBD964APH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",9951952,71.57,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-garden-ci-17085954248/,Bacoor,CAVITE
,0,,0,0,0,0,0,0,0,0,0,0,0,,,CAVITE
CD6614A37C19250PH,SERIN EAST TAGAYTAY,"Brgy. Silang Crossing East, Tagaytay, Cavite Mendez Crossing East, Tagaytay",7392857,39.7,1,1,2,3,2,1,1,2,4,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-bedrooms-1-toilets-condotel-brand-new-unit-in-ea-17182096139/,Tagaytay,CAVITE
CD64A04C394643FPH,GREEN 2 RESIDENCES,"Burol, Dasmariñas",3593841,18.98,1,1,0,1,1,1,1,1,2,https://www.lamudi.com.ph/projects/green-2-residences/studio-non-vat-unit-for-sale-at-green-residences-2-172066166499/,Dasmariñas,CAVITE
CD6191C21CD16A1PH,ALEA RESIDENCES,"Zapote III, Bacoor",5700000,71.5,2,1,0,1,1,1,1,2,3,https://www.lamudi.com.ph/projects/alea-residences/alea-residences-bacoor-2-bedroom-unit-rush-sale-ne-171213553644/,Bacoor,CAVITE
